id,bucket,subcategory,prompt,target_failure
LF007,LongForm_Task,workflow,"শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে BG-148 ফ্লাইটটা রাত ৮:১৫-এ ছাড়বে, তাই বিকেল ৫টার মধ্যে সবাই check-in করে ফেলো।",Entity + flight code + time
LF008,LongForm_Task,workflow,"১৯৭১ থেকে ২০২৬ পর্যন্ত দেশের ইতিহাস নিয়ে যে exhibitionটা হচ্ছে, সেখানে audio guide-এ বাংলা আর English দুটো ভাষাই থাকবে।",Year range + code-mix
LF009,LongForm_Task,workflow,"যদি Wi-Fi 6 routerটা reboot করার পরও Internet slow থাকে, তাহলে service center-এ ticket খুলে issueটা escalate করো।",Alphanumeric + multiple tech words
LF010,LongForm_Task,workflow,"আজ চা, কফি, পানি, biscuits, আর projector screen—সবকিছুই auditorium-এ পৌঁছাতে হবে, কারণ বিকেল ৪টায় event শুরু।",List + dash + time
LF011,LongForm_Task,narrative,"রাহাত, আমার ভাই, কাল কক্সবাজার থেকে সেন্ট মার্টিনে যাবে, কিন্তু আবহাওয়া খারাপ হলে সে হয়তো দুপুরের launchটা মিস করবে।",Appositive + place names + code-mix
LF012,LongForm_Task,narrative,"UNDP Bangladesh-এর প্রতিনিধি, WHO-এর উপদেষ্টা, আর BRTA-র চেয়ারম্যান একই মঞ্চে থাকবেন, তাই pronunciation ভুল হলে announcementটা অস্বস্তিকর শোনাবে।",Multiple acronyms and English nouns
LF013,LongForm_Task,narrative,"তুমি যদি আজ না এসে কাল আসো, না হলে অন্তত online-এ join করো, তাহলে আলোচনাটা একেবারে থেমে থাকবে না।",Alternative structure + code-mix
LF014,LongForm_Task,narrative,"ব্রাহ্মণবাড়িয়া থেকে আসা অতিথিদের জন্য ৫-১০ জনের বসার ব্যবস্থা, ২৫০ ml পানির বোতল, আর নামফলক আলাদা করে রাখো।",Conjunct place name + range + unit
LF015,LongForm_Task,narrative,"সে ধীরে বলল, “আমি এখনই ফিরছি না”, তারপর আর কিছু না বলে জানালার দিকে তাকিয়ে রইল।",Quoted speech + pause
LF016,LongForm_Task,narrative,"সার্ভার আইপি 192.168.1.17 বদলে 192.168.1.18 করতে হবে, কিন্তু database backup না নিয়ে এই কাজ কোরো না।",IP address + code-mix
LF017,LongForm_Task,narrative,"আজকের scoreline ৩:২ হলেও কোচ বললেন, “শেষ দশ মিনিটে আমাদের rhythm একদম ভেঙে গিয়েছিল।”",Scoreline + quote
LF018,LongForm_Task,narrative,"আমি ভাবছিলাম... আজই কি proposalটা submit করব, নাকি Q2 review-এর পর final revision দেব?",Ellipsis + code-mix + question
LF019,LongForm_Task,narrative,"কর্তৃপক্ষ জানিয়েছে, ১২/০৩/২০২৬ থেকে ১৫/০৩/২০২৬ পর্যন্ত রাস্তার একাংশ মেরামতের জন্য বন্ধ থাকবে।",Date range
LF020,LongForm_Task,narrative,"লক্ষ্মীপূজার প্রস্তুতিতে প্রদীপ, ফুল, ফল, আর প্রসাদের তালিকা আলাদা করে লিখে দরজার পাশে টাঙিয়ে দাও।",Conjunct entity + list
LF021,LongForm_Task,functional,"মি. করিম বললেন যে নং ১২ কক্ষের projector নষ্ট, তাই সভাটা ২য় তলার room B-তে সরিয়ে নেওয়া হবে।",Abbreviations + ordinals + room code
LF022,LongForm_Task,functional,"ফিওদর দস্তয়েভস্কির উপন্যাস নিয়ে আজকের lectureটা খুব dense ছিল, তবু studentরা surprisingly attentive ছিল।",Foreign name + code-mix adjectives
LF023,LongForm_Task,functional,"যদি ECG reportটা mail না আসে, তাহলে lab-এ call করে patient ID 458721 উল্লেখ করবে।",Medical acronym + serial number
LF024,LongForm_Task,functional,"আজ ৩২°C তাপমাত্রায়ও মাঠে কাজ করতে হয়েছে, তাই ২ লিটার পানি আর ORS খেতে ভুলবে না।",Temperature + quantity + acronym
LF025,LongForm_Task,functional,"ওটা লাল, না নীল, না একেবারেই সবুজ—আমি ঠিক বুঝতে পারিনি, কারণ আলোটা খুব ম্লান ছিল।",Alternative grouping + dash
LF026,LongForm_Task,functional,"চালান নম্বর A-12/B-7, warehouse code ZM-408-B, আর delivery slot 07:05 pm—এই তিনটা তথ্য ঠিক আছে কি না মিলিয়ে দেখো।",Multiple structured tokens
LF027,LongForm_Task,functional,"কক্সবাজারের হোটেল বুকিং, সেন্ট মার্টিনের launch ticket, আর ফেরার flight confirmation—সবকিছু এক ফোল্ডারে save করো।",List with mixed tokens
LF028,LongForm_Task,functional,ড. শারমিন আজ বললেন যে Bengali prosody-তে phrase break ভুল হলে বাক্যটা বোঝা গেলেও তা মানবসদৃশ শোনায় না।,Abbreviation + technical terms
LF029,LongForm_Task,functional,"আজকের meeting-এ agenda ছিল budget revision, vendor onboarding, AI roadmap, আর customer support backlog—কিন্তু সময় শেষ হয়ে গেছে।",Meeting jargon list
LF030,LongForm_Task,functional,"আমার ইমেইল user.name@example.com, আর backup contact নম্বর +৮৮০১৭১২-৩৪৫৬৭৮; দুটোই form-এ ঠিকমতো লিখো।",Email + phone
LF031,LongForm_Task,instruction,"প্রথমে গ্যাস বন্ধ করো, তারপর main switch নামাও, তারপর দরজা লক করে নিচে নেমে security-কে জানাও।",Sequential instructions
LF032,LongForm_Task,instruction,"তুমি যদি reportটা আজ submit না করো, তাহলে কালকের board meeting-এ এই বিষয়ে কোনো decision হবে না।",Conditional long sentence
LF033,LongForm_Task,instruction,"শ্রদ্ধাভরে শিক্ষককে সালাম জানিয়ে সে মঞ্চে উঠল, কিন্তু প্রথম বাক্যেই তার কণ্ঠ কেঁপে উঠল।",Conjunct + narrative prosody
LF034,LongForm_Task,instruction,"একই বাক্যে সংখ্যা, acronym, আর ইংরেজি শব্দ থাকলে modelটা কোথায় ভেঙে যায়, সেটা এই promptগুলো দিয়ে বোঝা যাবে।",Meta-stress prompt
LF035,LongForm_Task,instruction,"আজ রাত ১১:৫৯-এর আগে portal-এ login করে application fee ৳১,২৫০.৫০ পরিশোধ করতে হবে।",Time + currency + code-mix
LF036,LongForm_Task,instruction,"রাহাত (আমার ভাই) বলেছে যে Archer C6 routerটা restart করলে হয়তো Wi-Fi ঠিক হবে, কিন্তু আমি এখনো try করিনি।",Parenthetical + model name
LF037,LongForm_Task,instruction,এই মুহূর্তে কেউ কথা বলবে না—শিশুটাকে ঘুম পাড়াতে খুব কষ্ট হচ্ছে।,Dash pause + emotive prosody
LF038,LongForm_Task,instruction,"গ্রন্থাগারের সংশ্লিষ্ট নথিগুলো, বিশেষ করে রাষ্ট্রভাষা আন্দোলনের বিরল কপি, আলাদা তাকেতে সরিয়ে রাখো।",Conjunct-heavy long sentence
LF039,LongForm_Task,instruction,"আমাকে @user_handle-এ ping দাও, না হলে Slack-এ direct message করো, কারণ email আমি এখন দেখছি না।",Handle + multiple English tokens
LF040,LongForm_Task,instruction,"প্রোডাক্ট কোড XR-12 Pro-এর demo videoটা 4K format-এ আছে, তাই mobile network-এ play করতে সমস্যা হতে পারে।",Product code + alphanumeric
LF041,LongForm_Task,stress,"বাবা ভোরে ভাঙা ভেলা মেরামত করলেন, তারপর খালার জন্য কলা আর খেজুর কিনে আনলেন।",Aspiration and repetition
LF042,LongForm_Task,stress,"যে ছেলে চঞ্চল চোখে চুপচাপ চিঠি পড়ে, সে নাকি খুব কঠিন কবিতাও সহজে মুখস্থ বলতে পারে।",Affricate repetition
LF043,LongForm_Task,stress,"স্বপ্ন, স্মৃতি, স্ফূর্তি, আর স্নিগ্ধতা—এই চারটি শব্দ স্পষ্ট করে উচ্চারণ করে শোনাও।",Conjunct cluster list
LF044,LongForm_Task,stress,"নিচের নির্দেশনা মন দিয়ে শোনো: প্রথমে form পূরণ করবে, তারপর photo upload করবে, তারপর submit বাটনে চাপ দেবে।",Colon + stepwise instructions
LF045,LongForm_Task,stress,"দূরত্ব প্রায় ২.৩ কিমি হলেও রাস্তা ভাঙা, তাই ১০ মিনিটের পথ যেতে আধা ঘণ্টা লেগে যেতে পারে।",Distance + time + clause boundary
LF046,LongForm_Task,stress,"WHO-এর briefing, UNICEF-এর update, আর UNESCO-এর press note—তিনটাতেই একই ঘটনার ভিন্ন ব্যাখ্যা দেওয়া হয়েছে।",Multiple acronyms + dash
LF047,LongForm_Task,stress,"আমি বললাম, “আজই বের হও”, কিন্তু সে বলল, “না, আমি কাল সকালে যাব।”",Two quoted clauses
LF048,LongForm_Task,stress,"ওষুধটা সকালে ১টা, দুপুরে ১/২টা, আর রাতে ১টা খেতে হবে; ডোজ ভুল কোরো না।",Fraction dose schedule
LF049,LongForm_Task,stress,Final_Version_v2.3.docx ফাইলটা D:\Audio\Bangla\Final ফোল্ডার থেকে zip করে আমাকে পাঠাও।,Filename + path
LF050,LongForm_Task,stress,"বাংলা, English, সংখ্যা, symbol, আর proper noun সব একসাথে থাকলে synthesizer-এর আসল সীমাবদ্ধতা বোঝা যায়।",Mixed-script integrated stress
